temperature_2m,relative_humidity_2m,pressure_msl,windspeed_10m,time
24.126417344808576,83.8204574584961,1009.8495936632155,8.885631953179837,2025-04-12 00:00:00
24.634490054845806,83.56359213590622,1010.741733932495,7.892820183932781,2025-04-12 01:00:00
26.02443206310272,78.68640124797821,1012.0621851086615,8.317155960202218,2025-04-12 02:00:00
27.874796283245082,70.02479702234268,1012.7567580461501,7.690094566345215,2025-04-12 03:00:00
29.966488635540006,61.058910191059105,1012.211746263504,7.470673078298569,2025-04-12 04:00:00
31.24191311597824,55.623872578144066,1011.1226094365119,8.260533541440964,2025-04-12 05:00:00
31.79204370975494,52.98924624919891,1010.4069362044334,9.85062090009451,2025-04-12 06:00:00
31.940988731384273,52.07782253623008,1009.9021904945373,11.437462988495827,2025-04-12 07:00:00
32.05001090764999,51.93214207887649,1009.3688958883284,12.345820808410645,2025-04-12 08:00:00
31.77342617511749,53.58448773622512,1009.0912550687789,12.880544394254684,2025-04-12 09:00:00
30.89688854217529,57.12537080049514,1009.0332297682761,12.82081168293953,2025-04-12 10:00:00
29.827632856369014,61.01845204830169,1009.24353351593,12.476171529293062,2025-04-12 11:00:00
29.110295546054836,62.944899499416344,1009.8311637759208,11.617001469433308,2025-04-12 12:00:00
28.76065691709518,61.86495870351791,1010.4656240105628,10.759493231773376,2025-04-12 13:00:00
28.585341799259183,59.321712851524346,1010.9772883176803,10.0059199988842,2025-04-12 14:00:00
28.476869988441464,57.019907832145684,1011.1372620224952,9.399964472651481,2025-04-12 15:00:00
28.080889165401455,57.02101200819015,1010.9857153892516,8.83617859184742,2025-04-12 16:00:00
27.401759552955625,59.84159290790557,1010.6394858717917,8.2594254180789,2025-04-12 17:00:00
26.731694364547725,64.98311221599579,1010.1583437085151,7.72031070291996,2025-04-12 18:00:00
26.11163177490234,71.5193983912468,1009.6098950505256,7.116918301582337,2025-04-12 19:00:00
25.754764854907986,76.78164660930634,1009.2518423557281,6.584574967622757,2025-04-12 20:00:00
25.59446380138397,80.80297082662582,1009.174667584896,6.384005364775658,2025-04-12 21:00:00
25.43369185328483,83.60706835985184,1009.4073884844779,6.7057283371686935,2025-04-12 22:00:00
25.34910519123077,85.53117156028748,1009.7961875557899,7.255283504724503,2025-04-12 23:00:00
25.67862345576286,84.59651201963425,1010.2970499634741,7.9061466917395595,2025-04-13 00:00:00
26.358901244401927,80.66775172948837,1010.8370837807654,8.433114139735698,2025-04-13 01:00:00
26.868856346607206,76.23389601707458,1011.0982516527175,8.386102713644505,2025-04-13 02:00:00
