time,temperature_2m,relative_humidity_2m,pressure_msl,windspeed_10m,weathercode,city
2025-04-15 14:00:00,29.7,72,1008.5,9.4,2,0
2025-04-15 15:00:00,29.2,75,1009.1,7.9,2,0
2025-04-15 16:00:00,29.0,77,1009.6,6.9,1,0
2025-04-15 17:00:00,29.0,77,1009.9,6.4,1,0
2025-04-15 18:00:00,28.9,78,1010.0,5.4,1,0
2025-04-15 19:00:00,28.7,79,1009.7,4.4,2,0
2025-04-15 20:00:00,28.5,81,1009.1,3.4,2,0
2025-04-15 21:00:00,28.3,82,1008.7,2.9,2,0
2025-04-15 22:00:00,27.9,84,1008.7,3.4,2,0
2025-04-15 23:00:00,27.5,86,1008.8,4.1,2,0
2025-04-16 00:00:00,27.5,85,1009.1,5.1,2,0
2025-04-16 01:00:00,28.0,81,1009.6,6.4,1,0
2025-04-16 02:00:00,28.9,75,1010.3,7.7,1,0
2025-04-16 03:00:00,30.1,68,1010.6,8.1,1,0
2025-04-16 04:00:00,31.7,61,1010.4,8.2,2,0
2025-04-16 05:00:00,33.6,53,1009.8,7.8,2,0
2025-04-16 06:00:00,35.1,48,1009.2,7.0,2,0
2025-04-16 07:00:00,36.0,46,1008.4,7.0,2,0
2025-04-16 08:00:00,36.4,45,1007.6,9.4,2,0
2025-04-16 09:00:00,36.2,47,1006.9,12.4,2,0
2025-04-16 10:00:00,35.0,52,1006.5,13.7,0,0
2025-04-16 11:00:00,33.1,58,1006.3,13.8,0,0
2025-04-16 12:00:00,31.6,64,1006.4,13.5,0,0
2025-04-16 13:00:00,30.6,69,1006.9,12.5,1,0
2025-04-16 14:00:00,30.0,73,1007.7,10.7,1,0
2025-04-16 15:00:00,29.5,76,1008.3,9.4,1,0
2025-04-16 16:00:00,29.2,78,1008.6,9.0,2,0
2025-04-16 17:00:00,29.1,80,1008.6,9.4,2,0
2025-04-16 18:00:00,29.0,81,1008.6,8.9,2,0
2025-04-16 19:00:00,28.8,82,1008.4,7.5,3,0
2025-04-16 20:00:00,28.7,82,1008.1,6.5,3,0
2025-04-16 21:00:00,28.6,83,1007.9,6.0,3,0
2025-04-16 22:00:00,28.3,84,1008.0,5.8,3,0
2025-04-16 23:00:00,28.1,86,1008.2,5.5,3,0
